ATP,Location,Tournament,Date,Series,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,WPts,LPts,W1,L1,W2,L2,W3,L3,W4,L4,W5,L5,Wsets,Lsets,Comment,B365W,B365L,PSW,PSL,MaxW,MaxL,AvgW,AvgL,Scores,Winner1,Loser1
1,Brisbane,Brisbane International,2018-12-31,ATP250,Outdoor,Hard,1st Round,3.0,Dimitrov G.,Nishioka Y.,19.0,75.0,1835.0,701.0,6.0,3.0,6.0,4.0,,,,,,,2.0,0.0,Completed,1.36,3.0,1.36,3.37,1.42,3.6,1.35,3.18,6-3 6-4,Grigor Dimitrov,Yasuo Nishioka
3,Pune,Maharashtra Open,2018-12-31,ATP250,Outdoor,Hard,1st Round,3.0,Gulbis E.,Sousa P.,95.0,104.0,612.0,550.0,6.0,4.0,4.0,6.0,6.0,4.0,,,,,2.0,1.0,Completed,1.33,3.25,1.36,3.39,1.4,3.5,1.35,3.19,6-4 4-6 6-4,Ernests Gulbis,Pedro Sousa
3,Pune,Maharashtra Open,2018-12-31,ATP250,Outdoor,Hard,1st Round,3.0,Mmoh M.,Gunneswaran P.,103.0,110.0,563.0,521.0,7.0,5.0,6.0,3.0,,,,,,,2.0,0.0,Completed,1.66,2.1,1.81,2.1,1.83,2.17,1.74,2.09,7-5 6-3,Michael Mmoh,Prajnesh Gunneswaran
3,Pune,Maharashtra Open,2018-12-31,ATP250,Outdoor,Hard,1st Round,3.0,Donskoy E.,Andujar P.,97.0,82.0,594.0,658.0,6.0,3.0,5.0,7.0,7.0,6.0,,,,,2.0,1.0,Completed,1.5,2.5,1.54,2.62,1.57,2.65,1.51,2.53,6-3 5-7 7-6,Evgeny Donskoy,Pablo Andujar
3,Pune,Maharashtra Open,2018-12-31,ATP250,Outdoor,Hard,1st Round,3.0,Darcis S.,Carballes Baena R.,,73.0,,714.0,6.0,3.0,6.0,4.0,,,,,,,2.0,0.0,Completed,2.37,1.53,2.44,1.61,2.47,1.65,2.35,1.59,6-3 6-4,Steve Darcis,Roberto Carballes Baena
2,Doha,Qatar Exxon Mobil Open,2018-12-31,ATP250,Outdoor,Hard,1st Round,3.0,Marterer M.,Gojowczyk P.,74.0,59.0,706.0,855.0,6.0,1.0,6.0,4.0,,,,,,,2.0,0.0,Completed,1.9,1.8,2.2,1.74,2.23,1.82,2.09,1.74,6-1 6-4,Maximilian Marterer,Peter Gojowczyk
2,Doha,Qatar Exxon Mobil Open,2018-12-31,ATP250,Outdoor,Hard,1st Round,3.0,Rublev A.,Seppi A.,68.0,37.0,760.0,1106.0,7.0,5.0,6.0,1.0,,,,,,,2.0,0.0,Completed,1.5,2.5,1.48,2.83,1.57,2.83,1.5,2.59,7-5 6-1,Andrey Rublev,Andreas Seppi
2,Doha,Qatar Exxon Mobil Open,2018-12-31,ATP250,Outdoor,Hard,1st Round,3.0,Basilashvili N.,Ramos-Vinolas A.,21.0,65.0,1795.0,790.0,6.0,1.0,1.0,6.0,6.0,1.0,,,,,2.0,1.0,Completed,1.4,2.75,1.49,2.81,1.5,3.03,1.45,2.75,6-1 1-6 6-1,Nikoloz Basilashvili,Ramos-Vinolas A.
2,Doha,Qatar Exxon Mobil Open,2018-12-31,ATP250,Outdoor,Hard,1st Round,3.0,Berdych T.,Kohlschreiber P.,71.0,34.0,715.0,1125.0,6.0,4.0,7.0,6.0,,,,,,,2.0,0.0,Completed,2.62,1.44,2.86,1.47,2.86,2.02,2.44,1.59,6-4 7-6,Tomas Berdych,Philipp Kohlschreiber
2,Doha,Qatar Exxon Mobil Open,2018-12-31,ATP250,Outdoor,Hard,1st Round,3.0,Verdasco F.,Lorenzi P.,28.0,109.0,1410.0,525.0,6.0,3.0,6.0,4.0,,,,,,,2.0,0.0,Completed,1.22,4.0,1.23,4.62,1.3,4.7,1.24,4.07,6-3 6-4,Fernando Verdasco,Paolo Lorenzi
2,Doha,Qatar Exxon Mobil Open,2018-12-31,ATP250,Outdoor,Hard,1st Round,3.0,Jarry N.,Haase R.,43.0,50.0,1022.0,965.0,6.0,7.0,6.0,4.0,7.0,6.0,,,,,2.0,1.0,Completed,2.1,1.66,2.07,1.83,2.17,1.87,2.05,1.77,6-7 6-4 7-6,Nicolas Jarry,Robin Haase
2,Doha,Qatar Exxon Mobil Open,2018-12-31,ATP250,Outdoor,Hard,1st Round,3.0,Bautista Agut R.,Berrettini M.,24.0,54.0,1605.0,932.0,6.0,1.0,6.0,4.0,,,,,,,2.0,0.0,Completed,1.3,3.4,1.34,3.5,1.53,3.6,1.35,3.23,6-1 6-4,Roberto Bautista Agut,Matteo Berrettini
3,Pune,Maharashtra Open,2018-12-31,ATP250,Outdoor,Hard,1st Round,3.0,Munar J.,Albot R.,81.0,98.0,663.0,592.0,6.0,2.0,7.0,6.0,,,,,,,2.0,0.0,Completed,2.0,1.72,1.94,1.94,2.08,1.95,1.94,1.86,6-2 7-6,Jaume Munar,Radu Albot
1,Brisbane,Brisbane International,2018-12-31,ATP250,Outdoor,Hard,1st Round,3.0,Uchiyama Y.,Humbert U.,185.0,102.0,275.0,572.0,6.0,4.0,7.0,6.0,,,,,,,2.0,0.0,Completed,2.62,1.44,2.73,1.51,3.26,1.53,2.69,1.47,6-4 7-6,Yasutaka Uchiyama,Ugo Humbert
